Stock,Date,Actual,Predicted
AAPL,1198,140.1004638671875,138.9087466430664
AAPL,528,77.55927276611328,77.5838900756836
AAPL,395,49.7841911315918,50.040135345458985
AAPL,1406,190.2703857421875,191.85389083862304
AAPL,435,52.614654541015625,52.80109260559082
AAPL,578,68.39575958251953,68.77342391967774
AAPL,1213,146.98504638671875,146.51690750122071
AAPL,431,53.09096908569336,52.96906307220459
AAPL,613,80.86628723144531,80.93780128479004
AAPL,532,77.29833221435547,77.70149772644044
AAPL,814,117.56402587890624,117.84636253356933
AAPL,1452,175.59814453125,173.47574447631837
AAPL,653,106.3779754638672,106.26820457458496
AAPL,563,62.50423812866211,59.69261890411377
AAPL,1475,180.94058227539065,181.018330078125
AAPL,712,113.3090591430664,112.25741752624512
AAPL,1507,191.2439117431641,190.99339797973633
AAPL,126,43.69584274291992,43.871954154968265
AAPL,1772,227.23228454589844,232.84337295532225
AAPL,464,61.53932189941406,59.83051208496094
AAPL,1895,209.7184600830078,210.27816665649414
AAPL,1119,140.09275817871094,142.55987533569336
AAPL,1000,167.6236572265625,169.4182257080078
AAPL,794,117.95399475097656,119.94153945922852
AAPL,1778,228.8250732421875,228.0665463256836
AAPL,1878,200.5777130126953,199.73598205566407
AAPL,1658,218.3767852783203,219.98059143066405
AAPL,540,72.11542510986328,71.42038963317871
AAPL,545,72.26779174804688,69.64695037841797
AAPL,1126,133.44366455078125,133.3034504699707
AAPL,1787,226.6051177978516,227.55482803344728
AAPL,1969,269.4388122558594,269.3569012451172
AAPL,31,38.644004821777344,38.461421508789066
AAPL,1069,175.50631713867188,174.48258834838867
AAPL,1449,170.5623779296875,170.92066680908204
AAPL,809,117.50552368164062,118.70277160644531
AAPL,1321,160.19122314453125,159.8372723388672
AAPL,58,38.785099029541016,39.452153244018554
AAPL,521,74.54327392578125,74.99283622741699
AAPL,939,142.6450958251953,141.57906311035157
AAPL,1366,177.42626953125,179.87832977294923
AAPL,253,37.538822174072266,37.24617839813232
AAPL,101,44.413455963134766,44.29442546844482
AAPL,1512,182.52621459960935,183.9792916870117
AAPL,826,131.05674743652344,130.17977279663086
AAPL,300,43.18815612792969,43.18475269317627
AAPL,1554,168.7434844970703,168.8717788696289
AAPL,424,51.30121994018555,51.544517021179196
AAPL,1282,148.57850646972656,147.89936721801757
AAPL,1523,189.7678375244141,188.1559393310547
AAPL,1859,200.93695068359372,200.6143246459961
AAPL,766,125.48773193359376,127.00579002380371
AAPL,1542,182.37229919433597,181.65124069213869
AAPL,497,67.56305694580078,67.62031303405762
AAPL,1288,148.99281311035156,147.9015214538574
AAPL,988,161.38458251953125,164.35169631958007
AAPL,72,41.08717346191406,41.10396072387695
AAPL,277,41.41820907592773,41.3940641784668
AAPL,1796,244.71319580078125,246.62679321289062
AAPL,1949,255.20260620117188,257.5742999267578
AAPL,67,39.593994140625,40.04171173095703
AAPL,587,71.05610656738281,70.61314163208007
AAPL,1109,138.01063537597656,137.80464233398436
AAPL,1249,141.08163452148438,141.4234327697754
AAPL,1231,148.47998046875,147.4079541015625
AAPL,396,50.24910736083984,50.25481628417969
AAPL,1503,195.09750366210935,194.3435563659668
AAPL,1494,190.52072143554688,192.17468826293944
AAPL,113,45.38835906982422,45.20094337463379
AAPL,354,42.50852584838867,42.555863571166995
AAPL,1135,139.03204345703125,136.87605712890624
AAPL,859,121.68951416015624,121.8326741027832
AAPL,676,117.54598999023438,111.9687509918213
AAPL,572,64.34956359863281,63.824031066894534
AAPL,924,148.4936981201172,149.19234649658202
AAPL,1404,194.09393310546875,193.50336349487304
AAPL,1172,167.22561645507812,166.8553044128418
AAPL,1809,216.24057006835935,217.85951812744142
AAPL,1659,207.8582305908203,200.48723831176758
AAPL,413,51.152076721191406,51.35432483673096
AAPL,1443,174.2031707763672,173.38294189453126
AAPL,537,78.26813507080078,78.16268676757812
AAPL,1336,162.81568908691406,163.41843841552733
AAPL,1457,176.9436492919922,177.53196365356445
AAPL,1001,166.26220703125,166.28807510375975
AAPL,71,40.94844436645508,40.83381950378418
AAPL,1031,172.2270965576172,171.44095626831054
AAPL,883,136.67974853515625,135.83715301513672
AAPL,746,124.48506927490234,123.68042182922363
AAPL,1947,254.18359375,254.16500106811523
AAPL,1251,132.51089477539062,133.67541259765625
AAPL,1514,179.4849395751953,179.48508041381837
AAPL,1346,171.2515106201172,170.48369384765624
AAPL,1731,227.1924743652344,226.44262939453125
AAPL,590,71.96546936035156,72.19911735534669
AAPL,722,112.8912582397461,111.91497573852538
AAPL,1291,153.255126953125,152.4109243774414
AAPL,1742,238.51126098632807,238.87490509033202
AAPL,1253,130.33375549316406,129.66791328430176
AAPL,1089,153.5484161376953,155.22535903930665
AAPL,1915,233.10403442382807,233.26287841796875
AAPL,1547,181.0431365966797,182.31697006225585
AAPL,1376,182.7911376953125,183.81111465454103
AAPL,875,130.8398895263672,129.9685920715332
AAPL,1943,254.18359375,255.88690399169923
AAPL,1012,171.32598876953125,172.1386361694336
AAPL,488,65.31674194335938,65.11799800872802
AAPL,130,44.37096786499024,44.19850883483887
AAPL,1553,173.68319702148438,172.82565872192382
AAPL,1684,218.87815856933597,217.7035516357422
AAPL,1491,189.4508514404297,188.10288146972655
AAPL,1528,190.6197967529297,192.06776473999022
AAPL,1646,227.3359375,227.40910003662108
AAPL,363,46.68555450439453,46.618385810852054
AAPL,1623,211.6326141357422,214.2770553588867
AAPL,1978,275.25,270.8304244995117
AAPL,258,36.44298553466797,36.238597259521484
AAPL,1263,123.16193389892578,123.48128715515136
AAPL,1194,149.2569122314453,150.20043075561523
AAPL,546,69.97262573242188,71.47076194763184
AAPL,344,45.21173095703125,45.0530456161499
AAPL,1946,255.2126007080078,255.6848779296875
AAPL,672,125.3979263305664,123.43219947814941
AAPL,1063,162.18836975097656,162.20557693481445
AAPL,1576,168.20785522460938,167.99094421386718
AAPL,1830,189.77105712890625,186.98864028930663
AAPL,309,45.057395935058594,45.491622886657716
AAPL,1325,161.572509765625,162.24342880249023
AAPL,767,123.76472473144533,124.84648002624512
AAPL,1421,179.18943786621094,177.67611389160157
AAPL,1388,188.3931427001953,189.21799926757814
AAPL,235,42.00059509277344,42.86233692169189
AAPL,233,42.44986343383789,42.15434906005859
AAPL,1810,208.96543884277344,211.50534622192382
AAPL,557,59.65763092041016,59.23435817718506
AAPL,1880,199.87918090820312,200.5087614440918
AAPL,890,145.65435791015625,145.09542724609375
AAPL,1045,156.98086547851562,160.14205032348633
AAPL,1603,186.16554260253903,185.85364852905275
AAPL,808,121.62939453125,120.78334991455078
AAPL,717,107.32290649414062,106.5637809753418
AAPL,356,41.95493316650391,42.07295551300049
AAPL,1020,166.31121826171875,168.55227462768553
AAPL,1735,227.9689483642578,226.99460067749024
AAPL,656,107.9764404296875,109.37097938537597
AAPL,307,46.57331085205078,45.83701496124267
AAPL,1363,175.1242218017578,176.61927124023438
AAPL,1677,228.5039978027344,229.98325134277343
AAPL,1239,145.8299560546875,143.31961303710938
AAPL,782,133.4744873046875,132.98132278442384
AAPL,1286,149.6621551513672,150.1559814453125
AAPL,534,78.57046508789062,78.43155174255371
AAPL,1108,137.85345458984375,135.79108169555664
AAPL,1805,234.5280303955078,235.85017791748047
AAPL,615,85.56607055664062,84.57403968811035
AAPL,122,43.00185012817383,43.149021492004394
AAPL,1358,169.50245666503906,170.66507934570313
AAPL,1319,155.5441131591797,154.6569337463379
AAPL,622,84.80944061279297,85.62239753723145
AAPL,1877,196.1669921875,195.9350163269043
AAPL,1857,206.42539978027344,208.24021514892578
AAPL,137,45.19242477416992,45.077215423583986
AAPL,1801,241.01583862304688,236.4255876159668
AAPL,376,47.43086624145508,47.66006435394287
AAPL,318,47.02926635742188,46.90727737426758
AAPL,1573,167.47381591796875,167.21336883544922
AAPL,256,35.16409683227539,35.27722248077393
AAPL,466,61.854469299316406,61.92304565429688
AAPL,908,142.87985229492188,142.2170837402344
AAPL,111,45.25144958496094,45.089857025146486
AAPL,784,131.99264526367188,132.84660537719728
AAPL,938,140.27825927734375,140.91201522827149
AAPL,1342,167.32461547851562,167.15392593383788
AAPL,241,40.63615036010742,40.415045280456546
AAPL,1233,145.81027221679688,147.10626861572266
AAPL,1831,197.4747314453125,189.5724949645996
AAPL,980,154.62632751464844,154.5372741699219
AAPL,214,49.14812088012695,49.60380954742432
AAPL,815,118.16846466064452,117.6645539855957
AAPL,831,129.76988220214844,130.16254287719727
AAPL,779,130.3842010498047,131.14820098876953
AAPL,418,49.44171142578125,49.179789810180665
AAPL,353,42.71221923828125,42.907245826721194
AAPL,1424,178.2693634033203,177.96532119750975
AAPL,1333,164.2462921142578,164.74741394042968
AAPL,346,45.55204391479492,45.71624500274658
AAPL,1953,256.23162841796875,256.1202062988281
AAPL,283,40.77462768554688,40.74241355895996
AAPL,1043,164.0713348388672,164.6998390197754
AAPL,531,77.76750183105469,76.68278076171875
AAPL,1161,166.44863891601562,165.36640197753906
AAPL,1748,246.65444946289065,246.51053802490233
AAPL,1962,261.98602294921875,259.3121325683594
AAPL,2002,274.6099853515625,273.1318023681641
AAPL,213,52.639766693115234,52.094801063537595
AAPL,352,42.889556884765625,43.34016944885254
AAPL,326,48.49267959594727,47.9552082824707
AAPL,1474,179.88198852539062,178.662138671875
AAPL,556,61.15470123291016,58.736682167053225
AAPL,964,145.5791778564453,145.8251042175293
AAPL,1619,193.1680145263672,193.43553604125975
AAPL,723,116.31781005859376,114.75599548339844
AAPL,51,41.95957565307617,42.0400458908081
AAPL,212,51.843841552734375,52.06806129455566
AAPL,1096,154.4713592529297,154.42622329711915
AAPL,1357,172.11077880859375,172.9237873840332
AAPL,1458,176.81500244140625,176.1623356628418
AAPL,1414,177.54713439941406,177.07924102783204
AAPL,1116,143.5302734375,143.8807307434082
AAPL,1777,221.77696228027344,222.65669860839844
AAPL,175,51.71829605102539,51.777260093688966
AAPL,291,41.74625015258789,41.54231204986572
AAPL,1466,165.11111450195312,166.40393920898438
AAPL,249,37.36053085327149,35.96925010681152
AAPL,239,40.08466339111328,40.1730623626709
AAPL,894,142.72467041015625,142.29490646362305
AAPL,1896,209.5787506103516,210.5794920349121
AAPL,902,142.44146728515625,141.77485473632814
AAPL,25,36.64868927001953,37.5495467376709
AAPL,774,138.2886505126953,137.8094483947754
AAPL,65,40.3535270690918,39.98407192230225
AAPL,1721,224.64572143554688,226.24237930297852
AAPL,190,53.83363723754883,53.786114921569826
AAPL,706,112.70655059814452,113.77503700256348
AAPL,1931,239.45787048339844,240.2052978515625
AAPL,1660,205.83200073242188,201.53119964599608
AAPL,1153,159.60792541503906,158.9784208679199
AAPL,1565,177.22427368164062,175.01529495239257
AAPL,789,126.45516967773438,125.53569160461426
AAPL,516,76.9029769897461,76.62627914428711
AAPL,198,50.799198150634766,51.18114315032959
AAPL,473,63.369606018066406,63.904582290649415
AAPL,946,139.51539611816406,136.95959014892577
AAPL,1397,190.81375122070312,192.12477920532226
AAPL,272,39.28121566772461,38.647748680114745
AAPL,440,53.87758255004883,53.455076637268064
AAPL,102,44.51495742797852,44.418507957458495
AAPL,1694,226.09754943847656,225.8484895324707
AAPL,1598,180.92410278320312,181.58598846435547
AAPL,1950,256.8809814453125,255.93537734985352
AAPL,222,44.40382385253906,45.071749992370606
AAPL,368,47.55786895751953,47.61902904510498
AAPL,1134,136.44898986816406,134.82727661132813
AAPL,1698,231.69601440429688,230.1772659301758
AAPL,1628,208.26547241210935,211.22547805786132
AAPL,1247,142.34259033203125,140.86928344726562
AAPL,370,47.799922943115234,47.68568866729736
AAPL,995,175.76292419433594,173.85120483398438
AAPL,1265,128.21571350097656,129.71780014038086
AAPL,1789,231.82725524902344,231.5295439147949
AAPL,748,125.28333282470705,125.77525184631348
AAPL,308,45.608848571777344,46.06417171478272
AAPL,485,62.59993743896485,62.494643440246584
AAPL,604,76.80916595458984,77.25055343627929
AAPL,1732,223.9869537353516,224.9727833557129
AAPL,117,44.552730560302734,44.33868953704834
AAPL,1564,174.65525817871094,173.24109283447265
AAPL,1006,175.606201171875,176.70982559204103
AAPL,484,63.736358642578125,64.31541511535644
AAPL,1328,158.6520538330078,159.1549919128418
AAPL,652,105.67227935791016,105.7715909576416
AAPL,747,124.41693878173828,124.50665489196777
AAPL,1003,172.03121948242188,170.88399810791014
AAPL,1274,139.0128173828125,138.72080703735352
AAPL,80,38.48174285888672,38.646904945373535
AAPL,1228,146.0762481689453,147.14147064208984
AAPL,34,40.54634475708008,40.29938507080078
AAPL,601,77.41542053222656,77.08365188598633
AAPL,1337,163.12155151367188,163.0699676513672
AAPL,384,48.34870910644531,48.748931427001956
AAPL,1822,221.37301635742188,218.6287744140625
AAPL,165,51.20425033569336,51.34279235839844
AAPL,205,52.26786422729492,52.72707950592041
AAPL,1884,204.7389373779297,201.47830123901366
AAPL,864,122.94925689697266,122.48628623962402
AAPL,927,150.90943908691406,150.6013720703125
AAPL,574,66.0860595703125,65.01454696655273
AAPL,1532,185.11181640625,184.40464141845703
AAPL,1977,269.42999267578125,269.43378356933596
AAPL,1246,140.04721069335938,140.52444076538086
AAPL,863,122.93950653076172,122.35061241149903
AAPL,810,116.97908782958984,117.54211181640625
AAPL,1382,186.9802703857422,186.4751921081543
AAPL,220,46.15571975708008,46.68071697235107
AAPL,1942,255.8319854736328,253.0039535522461
AAPL,1459,175.26174926757812,173.94471115112304
AAPL,1113,146.05438232421875,147.17903121948243
AAPL,355,42.72899627685547,42.47999011993408
AAPL,1300,143.36892700195312,144.3362159729004
AAPL,61,39.14722442626953,39.41646507263184
AAPL,1290,151.15354919433594,150.11936325073242
AAPL,299,42.70831298828125,42.18118152618408
AAPL,75,41.81848907470703,41.859361000061035
AAPL,164,51.04555130004883,51.08619655609131
AAPL,1952,256.44140625,257.50026763916014
AAPL,1546,182.87815856933597,182.75459075927733
AAPL,554,67.22760009765625,64.30279945373535
AAPL,1052,160.02102661132812,159.99928359985353
AAPL,595,75.51901245117188,76.4366707611084
AAPL,1387,189.50958251953125,188.1147311401367
AAPL,47,41.60685348510742,41.31453830718994
AAPL,966,146.50827026367188,144.9848890686035
AAPL,1425,182.157470703125,181.81994018554687
AAPL,434,52.37651062011719,52.85629093170166
AAPL,1287,148.6277618408203,149.31740493774413
AAPL,78,38.85563659667969,39.10012153625488
AAPL,1928,229.49752807617188,229.22748504638673
AAPL,1423,176.70620727539062,176.2588670349121
AAPL,1242,144.4508056640625,147.26071914672852
AAPL,480,64.26957702636719,64.06448974609376
AAPL,455,57.85640335083008,58.29133708953857
AAPL,385,48.72016525268555,48.774563789367676
AAPL,1935,229.8072204589844,228.10106002807618
AAPL,32,39.35648727416992,38.83301067352295
AAPL,1391,187.4940643310547,187.86113327026368
AAPL,1758,257.0374755859375,256.02469818115236
AAPL,1317,158.10939025878906,156.9254330444336
AAPL,1781,236.520263671875,237.93134475708007
AAPL,811,120.29376983642578,120.06664390563965
AAPL,975,144.83177185058594,145.65173461914063
AAPL,1465,169.2762451171875,170.185701751709
AAPL,1560,169.7453155517578,171.06353439331053
AAPL,1577,167.08700561523438,167.21066528320313
AAPL,1618,194.54864501953125,194.58671478271484
AAPL,1583,168.00946044921875,169.9767530822754
AAPL,46,41.15772247314453,41.14921859741211
AAPL,496,67.49549865722656,67.69501434326172
AAPL,170,53.92129135131836,53.64647468566895
AAPL,305,44.52980041503906,44.821565856933596
AAPL,1999,278.0299987792969,275.3528942871094
AAPL,422,50.3221549987793,50.18674373626709
AAPL,1936,233.84332275390625,232.9347250366211
AAPL,612,80.39096069335938,78.80909942626953
AAPL,1039,165.62083435058594,164.99681213378906
